epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,245.787,1.32195,3.83696,1.32949,0.36069,0.50026,0.44707,0.27241,1.34365,2.63751,1.20698,0.00124687,0.000415625,0.00124687,0.000415625,0.00124687,0.000415625,0.00124687,0.000415625
2,477.346,1.14778,1.91085,1.10855,0.93135,0.90648,0.96687,0.58153,1.36541,1.43384,1.15748,0.00244744,0.000815812,0.00244744,0.000815812,0.00244744,0.000815812,0.00244744,0.000815812
3,708.414,1.10296,1.27567,1.06839,0.96931,0.96329,0.98547,0.63343,1.23325,1.20458,1.07112,0.0035985,0.0011995,0.0035985,0.0011995,0.0035985,0.0011995,0.0035985,0.0011995
4,937.96,1.06898,1.08712,1.04667,0.97869,0.97331,0.99156,0.66235,1.12159,1.05734,1.01854,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
5,1165.65,1.06055,0.98426,1.04504,0.98257,0.97878,0.99031,0.68865,1.07593,0.96131,1.00039,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
6,1394.55,1.03115,0.8987,1.03134,0.98557,0.97987,0.99284,0.69797,1.05341,0.88263,0.98843,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
7,1638.23,1.03319,0.8478,1.03336,0.9868,0.98335,0.99195,0.69541,1.05846,0.83323,0.99673,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
8,1882.94,1.00885,0.78927,1.01866,0.98411,0.98998,0.99351,0.71577,1.0116,0.77836,0.97597,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
9,2112.68,1.006,0.76172,1.0189,0.99138,0.98267,0.99398,0.71137,1.00221,0.76808,0.97329,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
10,2339.97,0.99708,0.72896,1.01593,0.98566,0.99064,0.99423,0.70471,1.03397,0.71763,0.9839,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
11,2568.07,0.99211,0.69798,1.01112,0.99151,0.9833,0.99424,0.71213,1.01206,0.69773,0.98177,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
12,2796.38,0.98071,0.67792,1.01078,0.98874,0.99099,0.99433,0.70573,1.03288,0.66642,0.99106,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
13,3023.23,0.97535,0.65123,1.00659,0.98742,0.98396,0.99439,0.71164,1.02608,0.65179,0.98336,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
14,3251.18,0.96914,0.63867,1.0061,0.98385,0.9895,0.99396,0.70965,1.01435,0.63484,0.98658,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
15,3479.1,0.96664,0.62893,1.00699,0.98631,0.98931,0.99428,0.71012,1.02354,0.61233,0.98115,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
16,3709.19,0.96269,0.60401,1.00182,0.98613,0.9888,0.99286,0.71851,0.98977,0.5977,0.97353,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
17,3939.42,0.96079,0.59297,1.0037,0.98715,0.98909,0.99385,0.70897,1.02737,0.59121,0.98663,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
18,4170.2,0.95498,0.58441,1.00219,0.98446,0.98966,0.994,0.72818,0.97614,0.56399,0.96783,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
19,4400.83,0.95368,0.56749,1.00139,0.9842,0.98847,0.99308,0.72562,0.97929,0.55439,0.96885,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
20,4630.83,0.95707,0.56309,1.00239,0.98414,0.98773,0.99374,0.73456,0.97022,0.54269,0.96868,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
21,4860.31,0.93802,0.54625,0.99255,0.99039,0.9896,0.99427,0.73181,0.98893,0.53419,0.97063,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
22,5091.67,0.94383,0.54125,0.99538,0.98555,0.99273,0.99282,0.73543,0.95963,0.52315,0.9615,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
23,5324.18,0.94161,0.53239,0.99191,0.98158,0.99234,0.99336,0.72103,0.99715,0.53165,0.97521,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
24,5554.68,0.9274,0.51882,0.98853,0.98737,0.98961,0.99216,0.73161,0.97265,0.5109,0.96793,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
25,5785.29,0.93759,0.52372,0.98964,0.98837,0.99021,0.99311,0.73089,0.98127,0.50104,0.96799,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
26,6016.85,0.93089,0.511,0.98677,0.98751,0.99091,0.99383,0.73282,0.98147,0.50175,0.9718,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
27,6249.15,0.92516,0.50561,0.9891,0.98781,0.98967,0.99266,0.72922,0.97346,0.48932,0.96725,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
28,6479.96,0.9168,0.49894,0.98259,0.98654,0.99087,0.99253,0.73438,0.97405,0.48821,0.96798,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
29,6711.74,0.92084,0.48949,0.98622,0.98971,0.99005,0.99423,0.7356,0.9728,0.48041,0.96435,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
30,6943.05,0.9139,0.48779,0.98341,0.99006,0.99093,0.99413,0.73361,0.97421,0.4787,0.96647,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
31,7179.03,0.91258,0.48229,0.98258,0.98694,0.99312,0.99369,0.73149,0.97806,0.47277,0.97026,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
32,7410.39,0.91814,0.48371,0.97979,0.98876,0.9934,0.9936,0.73654,0.97496,0.46459,0.9671,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
33,7649.98,0.90599,0.47339,0.9778,0.98633,0.99202,0.99381,0.7381,0.97726,0.45658,0.96495,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
34,7891.51,0.89825,0.46517,0.97905,0.98816,0.99248,0.99375,0.73867,0.97646,0.44948,0.96853,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
35,8134.31,0.90426,0.46468,0.97717,0.98679,0.99268,0.99342,0.74267,0.97919,0.45569,0.96769,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
36,8373.74,0.90315,0.46065,0.97816,0.99028,0.9916,0.99398,0.74662,0.97395,0.44482,0.96459,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
37,8614.31,0.893,0.45752,0.97564,0.99011,0.99048,0.99411,0.74242,0.97517,0.44442,0.96812,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
38,8855.59,0.88976,0.4519,0.97293,0.99234,0.98869,0.99415,0.74545,0.96897,0.44436,0.96504,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
